Date,DBC,GLD,HYG,IEF,IWM,LQD,RWO,SPY,USO,VGK,VNQ
2010-01-04,23.234582901000977,109.80000305175781,38.47996520996094,65.94830322265625,52.369205474853516,62.55709457397461,18.773483276367188,86.58074951171875,322.1600036621094,29.97945785522461,25.190031051635742
2010-01-05,23.26219940185547,109.69999694824219,38.66254425048828,66.23788452148438,52.18914031982422,62.85585021972656,18.848783493041992,86.80995178222656,323.2799987792969,29.93145751953125,25.161754608154297
2010-01-06,23.676441192626953,111.51000213623047,38.76250076293945,65.97055053710938,52.14002990722656,62.67061233520508,18.732934951782227,86.87104797363281,327.760009765625,30.11147689819336,25.116519927978516
2010-01-07,23.381868362426758,110.81999969482422,38.91897964477539,65.97055053710938,52.52474594116211,62.74824523925781,18.81983184814453,87.23775482177734,325.760009765625,29.91945457458496,25.387928009033203
2010-01-08,23.36345672607422,111.37000274658203,38.97982406616211,66.0522232055664,52.811222076416016,62.88569259643555,18.790857315063477,87.52806091308594,327.44000244140625,30.2194766998291,25.201335906982422
2010-01-11,23.289813995361328,112.8499984741211,38.9450569152832,66.09680938720703,52.598392486572266,62.95143127441406,18.900924682617188,87.65031433105469,324.32000732421875,30.45950698852539,25.348356246948242
2010-01-12,22.7927188873291,110.48999786376953,38.74513244628906,66.5719985961914,52.02544403076172,63.0709228515625,18.559165954589844,86.83284759521484,317.0400085449219,30.015459060668945,24.92426872253418
2010-01-13,22.81113052368164,111.54000091552734,38.832054138183594,66.25272369384766,52.69662857055664,62.808048248291016,18.831405639648438,87.56627655029297,313.67999267578125,30.423505783081055,25.427513122558594
2010-01-14,22.691457748413086,112.02999877929688,38.87552261352539,66.5645751953125,52.89307403564453,63.03504943847656,18.84299087524414,87.80306243896484,312.4800109863281,30.363492965698242,25.404890060424805
2010-01-15,22.433706283569336,110.86000061035156,38.71904373168945,66.86154174804688,52.12367248535156,63.01116943359375,18.593914031982422,86.81757354736328,307.20001220703125,29.727434158325195,25.212635040283203
2010-01-19,22.580995559692383,111.5199966430664,38.73642349243164,66.74280548095703,53.081321716308594,63.06498718261719,19.010974884033203,87.90241241455078,311.44000244140625,30.345495223999023,25.72718620300293
2010-01-20,22.157543182373047,108.94000244140625,38.679893493652344,66.97298431396484,52.31190872192383,63.02311706542969,18.6402530670166,87.00857543945312,303.1199951171875,29.403390884399414,25.438819885253906
2010-01-21,21.881380081176758,107.37000274658203,38.07573699951172,67.21798706054688,51.45246505737305,63.1904411315918,18.14789390563965,85.33548736572266,297.9200134277344,28.49127960205078,24.70941734313965
2010-01-22,21.651241302490234,107.16999816894531,37.714996337890625,67.27735137939453,50.52753448486328,63.09482192993164,17.788761138916016,83.43318939208984,290.7200012207031,27.87321662902832,24.08743667602539
2010-01-25,21.752500534057617,107.4800033569336,37.7714729309082,67.12886810302734,50.584842681884766,63.08889389038086,17.97412109375,83.86099243164062,294.4800109863281,28.38327980041504,24.257064819335938
2010-01-26,21.513160705566406,107.55999755859375,37.819305419921875,67.26253509521484,50.08552551269531,62.921566009521484,17.835105895996094,83.50957489013672,292.0,28.16124725341797,24.030885696411133
2010-01-27,21.200176239013672,106.52999877929688,37.83232116699219,67.10657501220703,50.61758041381836,62.694496154785156,17.84088897705078,83.9068603515625,288.6400146484375,28.275257110595703,24.245759963989258
2010-01-28,21.12653160095215,106.4800033569336,37.67152404785156,67.08434295654297,49.74992752075195,62.604881286621094,17.817720413208008,82.94424438476562,289.2799987792969,27.585187911987305,24.036548614501953
2010-01-29,20.887187957763672,105.95999908447266,37.48027038574219,67.34419250488281,49.201515197753906,63.005226135253906,17.562849044799805,82.0427474975586,285.1199951171875,27.26714324951172,23.900833129882812
2010-02-01,21.393489837646484,108.3499984741211,37.66117477416992,67.11322784423828,49.782676696777344,62.724388122558594,17.869857788085938,83.31857299804688,293.760009765625,27.95122528076172,24.336219787597656
2010-02-02,21.853761672973633,109.12999725341797,37.77504348754883,67.2249984741211,50.331085205078125,62.92237854003906,18.263742446899414,84.32705688476562,300.239990234375,28.38327980041504,24.669836044311523
2010-02-03,21.58680534362793,108.69999694824219,37.967769622802734,66.90470886230469,49.995513916015625,62.85638427734375,18.037837982177734,83.9068603515625,301.20001220703125,28.029220581054688,24.26837158203125
2010-02-04,20.8687801361084,104.37000274658203,37.429019927978516,67.4559097290039,48.325714111328125,62.850406646728516,17.418039321899414,81.31697845458984,286.3999938964844,26.65506935119629,23.369338989257812
2010-02-05,20.601818084716797,104.68000030517578,37.21000671386719,67.67192840576172,48.513973236083984,62.658348083496094,17.475961685180664,81.48504638671875,281.67999267578125,26.409040451049805,23.799068450927734
2010-02-08,20.611026763916016,104.04000091552734,37.04795455932617,67.61233520507812,48.03102493286133,62.71836853027344,17.197921752929688,80.89678955078125,280.7200012207031,26.025007247924805,23.278865814208984
2010-02-09,20.979244232177734,105.41000366210938,37.122406005859375,67.24732971191406,48.69404220581055,62.5743522644043,17.360116958618164,81.91287994384766,289.67999267578125,27.10512351989746,23.205358505249023
2010-02-10,21.062091827392578,105.12000274658203,36.62305450439453,67.06106567382812,48.80862808227539,62.088314056396484,17.447004318237305,81.75244903564453,292.0799865722656,26.793088912963867,23.250595092773438
2010-02-11,21.31064224243164,107.12999725341797,36.771968841552734,66.9791488647461,49.58623123168945,62.23234558105469,17.54547119140625,82.60808563232422,294.239990234375,27.02111053466797,23.471111297607422
2010-02-12,21.190969467163086,107.04000091552734,36.750064849853516,67.13558959960938,49.946372985839844,62.30428695678711,17.539682388305664,82.53936004638672,290.4800109863281,26.65506935119629,23.7481689453125
